
key = model_output

vcf_matrix

key = vts_vcm_comm

key = 0

,DIA,SPY,VO,IJH,QQQ,IWF,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,VOX,XLU,GDX,GUNR,IXUS,IEFA,EFA,VGK,VWO,IEMG,SHV,BIL,GBIL,SHY,IEI,IEF,VGIT,TLT,GOVT,MUB,SHM,VCSH,VCIT,VCLT,LQD,HYG,SHYG,MBB,VMBS,AGG,BSV,BIV,BLV,BNDX,EMB,GLD,SLV,USO,PDBC,VNQ,VNQI
XLV,5.5552914319848063e-05,5.8557534073461e-05,5.739744813759854e-05,6.709233387144393e-05,7.75359664032396e-05,7.756516546334918e-05,6.936183288136647e-05,4.1019924607152616e-05,-4.668175188915362e-05,2.9179571699428015e-05,7.253541466888913e-05,5.463550482752979e-05,5.056577610814742e-05,7.400090026116745e-05,9.553515392931225e-05,4.5183927528132856e-05,2.500635891621371e-05,8.821934058197452e-05,-3.4967638606366193e-06,4.1845343168575625e-05,5.306596126538059e-05,5.2872378454005274e-05,3.911124580576238e-05,1.311515458723945e-05,2.0767294721864324e-05,7.015006280819113e-07,3.2818439677641955e-07,3.1990477318520675e-06,1.0165481764412907e-05,2.461283319204819e-05,3.894033373622437e-05,2.7559550974080262e-05,7.683221202766219e-05,3.1377939708983575e-05,2.1476366210861954e-05,8.221699291614059e-06,1.6227341936554967e-05,3.572602821916999e-05,7.113562938903974e-05,4.886636784053018e-05,2.5520273968450607e-05,1.9615962343705064e-05,3.724078090901968e-05,3.52729462327616e-05,3.370567405218841e-05,1.4943959585391831e-05,3.4719720233503084e-05,7.036861856865086e-05,1.5709195980784472e-05,4.342009789763169e-05,3.2996916400522985e-05,2.9317610770980674e-05,-8.821456523079948e-05,-3.6088523477762945e-05,7.422851759243133e-05,5.5266314698357884e-05
XLI,5.2205310260340815e-05,5.676649775721149e-05,6.831100100384095e-05,8.383459971053633e-05,7.616802315911801e-05,7.288049616195108e-05,6.83269571724783e-05,3.376434171316049e-05,-2.9302417234601197e-05,3.476769652330706e-05,5.463550482752979e-05,6.098544814004495e-05,5.8664745864011e-05,7.93493493424942e-05,9.393006948121164e-05,4.9292866251005255e-05,1.542237777453227e-05,8.4053197955725e-05,6.086587808665046e-06,5.270246823030518e-05,5.9302995433748893e-05,5.9076823620735356e-05,5.182250756833167e-05,3.6993097181251954e-05,4.130085356829691e-05,8.24649709483321e-07,3.3019509565800386e-07,2.5496833901515825e-06,9.58145997210018e-06,2.3464344763930953e-05,3.6056931576170806e-05,2.598664862615709e-05,6.900034073592916e-05,2.910944496592985e-05,1.8723264628627642e-05,7.409542524158204e-06,1.5713480273566377e-05,3.454870251332054e-05,6.352512527133321e-05,4.5076094549199294e-05,2.7922951382306267e-05,2.1131321662726394e-05,3.5361253994263524e-05,3.43011938273697e-05,3.163824990615188e-05,1.4138372799667153e-05,3.28950885100085e-05,6.380972026151541e-05,1.6115273496600378e-05,4.484631350628851e-05,3.422523145925179e-05,2.393526268461168e-05,-6.975346223915119e-05,-2.5624254783430614e-05,7.915413744525352e-05,6.019020709852586e-05
XLB,4.992322322890558e-05,4.886610363089746e-05,6.499054491162903e-05,8.136801691985806e-05,6.402165200775583e-05,5.9312460062038525e-05,6.459969598963578e-05,3.6387090369489116e-05,-2.679344333448116e-05,3.451839050135071e-05,5.056577610814742e-05,5.8664745864011e-05,6.259713531240565e-05,7.259572721353222e-05,7.557853695499714e-05,4.46748760870449e-05,1.1938571484373272e-05,7.527618835654677e-05,8.768502465035069e-06,4.8641816250807136e-05,5.3807189101789906e-05,5.3941945143666386e-05,4.665574966617535e-05,3.417487332998441e-05,3.938771266142484e-05,7.054169295843493e-07,3.86290743375191e-07,2.7473670216156043e-06,7.5653009506037105e-06,1.967295013038574e-05,3.151580700153196e-05,2.2123101316063627e-05,6.402223893992551e-05,2.5595309847321982e-05,1.730933671875353e-05,7.051302448778787e-06,1.3116007388076007e-05,3.032954267301669e-05,5.751951186485957e-05,4.009646481157434e-05,2.3930565832571742e-05,1.8030497377499886e-05,3.0611258144022125e-05,2.9769546441720295e-05,2.7671748756593297e-05,1.148350753298553e-05,2.8565514710902418e-05,5.84584849808283e-05,1.5192875469308162e-05,3.7088688249026924e-05,3.277096471795997e-05,1.719948038550659e-05,-8.166809043353768e-05,-3.398023490489495e-05,7.254316154507879e-05,5.2652175440821976e-05
XLRE,7.021288864902988e-05,7.830798296401453e-05,9.01085505294604e-05,0.00010863284454650493,0.0001067366673774031,0.0001022944820066852,9.513166724089388e-05,4.055182039211633e-05,-4.618729438536852e-05,4.722056030391586e-05,7.400090026116744e-05,7.93493493424942e-05,7.259572721353222e-05,0.00010849695902740874,0.00013184795299970098,6.53476560621635e-05,2.2116321515916304e-05,0.00010556082762254202,1.8970866703442608e-06,6.621110032678126e-05,7.627615333818342e-05,7.593906933864849e-05,6.664822965907591e-05,4.258382762658931e-05,4.761568866736015e-05,1.1210312856213836e-06,3.797712628237802e-07,3.6892563796721963e-06,1.3322414907857053e-05,3.2229121379849455e-05,4.907963054922229e-05,3.553623695540626e-05,9.370243057082363e-05,3.9719370351735435e-05,2.446344748330258e-05,1.0079969317507068e-05,2.131990395164034e-05,4.619632204809869e-05,8.531228995523749e-05,6.039058360596996e-05,3.618241761490976e-05,2.7180103283684547e-05,4.7882333786604435e-05,4.606327068125865e-05,4.2988878836066836e-05,1.957206132709265e-05,4.462831128946555e-05,8.600541660295703e-05,2.0930720613715276e-05,6.051886951607586e-05,3.976609449416861e-05,3.0159096731972852e-05,-8.994683706305594e-05,-3.3690573412573396e-05,0.00010829192894891556,7.728793061318301e-05
XLK,8.481408296237528e-05,0.00010869910605698593,0.00010831056010334683,0.00012824138176894019,0.0001560297155495666,0.00015388127563976153,0.00012820323542444328,4.737620434998171e-05,-6.132466285062402e-05,4.2708449503988805e-05,9.553515392931225e-05,9.393006948121164e-05,7.557853695499714e-05,0.000131847952999701,0.0001959957451667399,8.982591703321304e-05,2.8114880195350866e-05,0.0001553310610296389,2.241048722934294e-06,8.93306632942078e-05,0.00010381640708863405,0.00010282922691238981,8.872562493878917e-05,5.778211424655452e-05,6.607400681101877e-05,1.6683820739979576e-06,4.4484894995551676e-07,4.527812861662407e-06,2.0827065250248824e-05,4.8092495644420187e-05,7.17062022143722e-05,5.268598686967616e-05,0.00013157041889060042,5.80300763861604e-05,3.522384233194213e-05,1.34472996357869e-05,3.20159112159711e-05,6.7759925088721e-05,0.0001221217860234554,8.771308587681178e-05,5.217447580853822e-05,3.8985973793869373e-05,7.197423565255907e-05,6.971593748428739e-05,6.287952877029569e-05,3.001737649609563e-05,6.550880511653764e-05,0.00012222158687255174,2.948887710637747e-05,9.038292015984355e-05,5.318527029520333e-05,4.941049212861243e-05,-8.599033089288924e-05,-2.2203364162616885e-05,0.00013197176726297048,0.00011183284314920026
VOX,4.2720037453590316e-05,5.14153178269658e-05,5.662311934350414e-05,6.8901988073263e-05,7.312350978198211e-05,7.06317011942285e-05,6.424082077653704e-05,2.6662924252480793e-05,-2.701985957659954e-05,2.2992328926295495e-05,4.518392752813285e-05,4.9292866251005255e-05,4.46748760870449e-05,6.53476560621635e-05,8.982591703321304e-05,4.4970635513195486e-05,1.1007125899268995e-05,7.691756107290763e-05,5.420640413452683e-06,4.6695049984550406e-05,5.254205668831595e-05,5.226091630010083e-05,4.558075767546442e-05,3.309959504747789e-05,3.776132865535887e-05,8.134540343785573e-07,2.8366305125824334e-07,2.3751068715055545e-06,9.475919832288835e-06,2.2540353488281656e-05,3.426357763014528e-05,2.4871096153160256e-05,6.476363565148347e-05,2.7822799879973918e-05,1.738850683571239e-05,6.712744446775053e-06,1.5041645162530698e-05,3.2789188026682414e-05,5.935347069644551e-05,4.2441458505457725e-05,2.5428610409102805e-05,1.893101107678078e-05,3.444708847821575e-05,3.359700645830465e-05,3.0131070195802696e-05,1.3840564110598841e-05,3.1318953706104345e-05,5.990880785982801e-05,1.5110357680004028e-05,4.262755737071969e-05,2.8437331801265705e-05,2.129462892486716e-05,-5.14248827641315e-05,-1.595622704449136e-05,6.543799279852513e-05,5.528042583390886e-05
XLU,1.6552423644350605e-05,1.7300084414040296e-05,1.466429334831863e-05,1.60864371673884e-05,2.0414098055051883e-05,2.2185020211592323e-05,1.3509930141812875e-05,1.1841026487026628e-05,-1.34152163460621e-05,1.025720093935872e-05,2.500635891621371e-05,1.542237777453227e-05,1.193857148437327e-05,2.2116321515916304e-05,2.8114880195350866e-05,1.1007125899268995e-05,1.2089318465955217e-05,2.628244628602872e-05,-3.757035602491573e-06,1.0072526682551898e-05,1.4420697478676153e-05,1.4163614407092101e-05,9.72328766840021e-06,2.2330065613064638e-07,1.4996156194895768e-06,1.3916141411279208e-07,4.3769531586239755e-08,4.923427807597413e-07,2.9858457133381957e-06,6.847954234172092e-06,1.0400443404202004e-05,7.5640178447583484e-06,1.8605519494204126e-05,8.094606527550328e-06,5.809961085642095e-06,2.0158573843062753e-06,4.6280825662801175e-06,9.374182086910229e-06,1.8965272895012667e-05,1.308468945819461e-05,7.605424638662318e-06,6.256664183756937e-06,9.431829965007441e-06,8.655789023090275e-06,8.864040910196021e-06,4.246970126295042e-06,9.258163501016264e-06,1.7669915899441182e-05,3.373622076212655e-06,1.2445171320413389e-05,1.0654736149306118e-05,1.3386994250558384e-05,-2.1749375613255615e-05,-8.474930842033582e-06,2.194523887521765e-05,1.5484271516805407e-05
GDX,7.311322755381538e-05,8.883543108199212e-05,9.152602533674529e-05,0.00011167341221749733,0.00012231949018632143,0.0001229831174977662,9.75097485067446e-05,5.514609090834894e-05,-4.002750819588465e-05,3.284999331231477e-05,8.821934058197452e-05,8.4053197955725e-05,7.527618835654677e-05,0.00010556082762254202,0.00015533106102963887,7.691756107290763e-05,2.6282446286028715e-05,0.00015557586739318882,1.3795865125940423e-05,8.404008229588253e-05,9.55205667800757e-05,9.461034171571398e-05,7.878961975929966e-05,5.854369086973871e-05,6.83094712856772e-05,1.3302221494406113e-06,5.142509027213405e-07,3.1004976195325467e-06,1.7111994463638986e-05,3.995119740061277e-05,6.0662110015203534e-05,4.41741013169929e-05,0.00011097452035174737,4.864997550399817e-05,3.2872521558432246e-05,1.1235241295792378e-05,2.728809702027274e-05,5.893352670049376e-05,0.0001068894253811814,7.677032023334575e-05,4.7891889159110495e-05,3.667812872000468e-05,6.112813730464179e-05,5.983573366712571e-05,5.31745795245859e-05,2.4715387036289736e-05,5.557388110393565e-05,0.00010510156617217744,2.6467026690453747e-05,7.695890154411592e-05,6.231608121999268e-05,5.3043992079306774e-05,-8.466500728736905e-05,-2.136721713856252e-05,0.00010554380047372119,0.00010408739361354185
GUNR,3.585376647921641e-07,1.2208120735904352e-06,6.912715329803974e-06,1.1219447767705308e-05,1.5447624371397314e-06,1.021033894600052e-06,2.593245668841054e-07,3.695554473311449e-06,1.0877675996361818e-05,-3.48542151332348e-07,-3.4967638606366193e-06,6.086587808665046e-06,8.768502465035069e-06,1.8970866703442604e-06,2.241048722934296e-06,5.420640413452682e-06,-3.757035602491574e-06,1.3795865125940423e-05,9.871625395559003e-06,1.1318857959787539e-05,9.20265339239647e-06,9.124798387994203e-06,9.902283516990964e-06,1.7036196775997844e-05,1.7348105372356905e-05,9.952910547851423e-08,7.688328655333383e-08,-3.9687429483631045e-07,4.0756530788757646e-07,1.1010121730940445e-06,1.5583757756732155e-06,1.234118370151895e-06,1.614572898522719e-06,1.1766581394997947e-06,1.4070238986835212e-06,4.310745406337092e-08,1.1207829722901043e-06,2.8816567519680013e-06,2.7587663138159954e-06,2.8096395221113685e-06,4.384039662194676e-06,3.400161245225552e-06,2.4200748738939274e-06,3.082962447026965e-06,1.598955121276453e-06,6.088703265869913e-07,1.8702708343480075e-06,2.625759258508263e-06,2.071636062320915e-06,4.325047461747563e-06,8.933328697352032e-06,3.3964072725785594e-06,3.3776062676262373e-06,4.780544986531329e-06,1.7663724264991788e-06,1.0180768919686126e-05
IXUS,4.1724762500977894e-05,5.098589440728829e-05,6.004274695000377e-05,7.475586435471378e-05,7.094376685504953e-05,6.88582080918623e-05,5.845530954797991e-05,2.7332449315206764e-05,-1.670670353424783e-05,2.4120971516557885e-05,4.1845343168575625e-05,5.270246823030518e-05,4.8641816250807136e-05,6.621110032678126e-05,8.933066329420778e-05,4.6695049984550406e-05,1.0072526682551898e-05,8.404008229588253e-05,1.1318857959787539e-05,5.321387028606248e-05,5.759762116802764e-05,5.7133631665583524e-05,5.1756074620309013e-05,4.4552881100459225e-05,4.8215597984086996e-05,8.360328802551683e-07,2.9354415599137817e-07,1.6807598348795387e-06,9.475905739338546e-06,2.240234656616384e-05,3.351124125803844e-05,2.4614465344847927e-05,6.080392350752959e-05,2.6981110303541276e-05,1.724105312291218e-05,6.22636946188568e-06,1.5313986717141845e-05,3.31183061845042e-05,5.762058140467692e-05,4.206016354630699e-05,2.8194552192770097e-05,2.1310441593084545e-05,3.409488141452083e-05,3.3694374183603196e-05,2.960405580772066e-05,1.3760756982590997e-05,3.1043801233708166e-05,5.7523257363823874e-05,1.5402259123241357e-05,4.461160809934926e-05,3.448514926301389e-05,2.5470392028595708e-05,-4.2689664230778775e-05,-9.546823548287618e-06,6.599970059519133e-05,6.1028674624298244e-05
